Date,PAYEMS,UNRATE,CUMFNS,INDPRO,SAHMCURRENT
1/1/48,44679,3.4,84.4294,14.3524,
2/1/48,44533,3.8,83.9649,14.3793,
3/1/48,44683,4,83.3786,14.2177,
4/1/48,44379,3.9,82.7982,14.2447,
5/1/48,44796,3.5,83.3016,14.487,
6/1/48,45034,3.6,83.6466,14.6755,
7/1/48,45160,3.6,83.3785,14.6755,
8/1/48,45178,3.9,82.658,14.6216,
9/1/48,45294,3.8,81.4921,14.5139,
10/1/48,45245,3.7,81.689,14.6217,
11/1/48,45192,3.8,80.2405,14.4332,
12/1/48,45032,4,79.3106,14.2985,
1/1/49,44668,4.3,77.9438,14.1639,
2/1/49,44497,4.7,76.8835,14.0292,
3/1/49,44240,5,75.8871,13.76,1.1
4/1/49,44236,5.3,74.1646,13.6792,1.43
5/1/49,43984,6.1,73.1841,13.4907,1.9
6/1/49,43739,6.2,73.0837,13.4638,2.3
7/1/49,43531,6.7,73.129,13.4368,2.77
8/1/49,43624,6.8,73.6079,13.5715,2.87
9/1/49,43780,6.6,74.8043,13.7061,2.93
10/1/49,42942,7.9,71.6831,13.1945,3.33
11/1/49,43242,6.4,72.0188,13.5446,3.2
12/1/49,43522,6.6,73.6252,13.7869,3.13
1/1/50,43526,6.5,74.9361,14.0292,2.47
2/1/50,43297,6.4,75.3878,14.0831,2.17
3/1/50,43954,6.3,76.3894,14.5409,1.73
4/1/50,44382,5.8,79.2129,15.0255,1.17
5/1/50,44718,5.5,81.0351,15.3756,0.4
6/1/50,45083,5.4,83.1238,15.8334,-0.3
7/1/50,45454,5,85.4762,16.345,-0.27
8/1/50,46192,4.5,88.367,16.8566,-0.33
9/1/50,46438,4.4,87.2287,16.7489,-0.33
10/1/50,46706,4.2,87.4758,16.8566,-0.27
11/1/50,46776,4.2,87.0349,16.8297,-0.1
12/1/50,46861,4.3,88.0952,17.1259,-0.03
1/1/51,47288,3.7,88.3302,17.1797,-0.17
2/1/51,47577,3.4,88.2919,17.2875,-0.27
3/1/51,47873,3.4,88.3826,17.3682,-0.3
4/1/51,47861,3.1,88.2029,17.3952,-0.2
5/1/51,47952,3,87.3526,17.3413,-0.13
6/1/51,48064,3.2,86.6421,17.2605,-0.07
7/1/51,48061,3.1,84.8692,16.9913,0
8/1/51,48012,3.1,83.6406,16.8297,0.03
9/1/51,47954,3.3,83.7458,16.9374,0.07
10/1/51,48006,3.5,83.0578,16.9105,0.2
11/1/51,48147,3.5,83.559,17.0451,0.33
12/1/51,48314,3.1,83.9073,17.1528,0.27
1/1/52,48296,3.2,84.3838,17.3413,0.17
2/1/52,48522,3.1,84.5965,17.449,0.03
3/1/52,48504,2.9,84.6599,17.5029,-0.03
4/1/52,48620,2.9,83.5604,17.3413,-0.1
5/1/52,48642,3,83.1126,17.1798,-0.03
6/1/52,48282,3,81.8992,17.0182,0.03
7/1/52,48143,3.2,79.8012,16.7489,0.13
8/1/52,48924,3.4,85.0966,17.826,0.27
9/1/52,49320,3.1,87.6912,18.4723,0.3
10/1/52,49597,3,88.7512,18.6608,0.23
11/1/52,49816,2.8,90.1807,19.0378,0.03
12/1/52,50166,2.7,90.4905,19.1455,-0.1
1/1/53,50144,2.9,90.5483,19.1993,-0.03
2/1/53,50339,2.6,91.1036,19.307,-0.07
3/1/53,50473,2.6,91.4256,19.4686,-0.03
4/1/53,50435,2.7,91.4983,19.5494,-0.07
5/1/53,50490,2.5,91.6937,19.6571,-0.03
6/1/53,50519,2.5,90.6594,19.5763,-0.03
7/1/53,50536,2.6,90.9787,19.8187,-0.03
8/1/53,50489,2.7,90.5636,19.7109,0.07
9/1/53,50368,2.9,88.3263,19.307,0.2
10/1/53,50240,3.1,87.1948,19.1455,0.37
11/1/53,49908,3.5,84.7407,18.6877,0.63
12/1/53,49703,4.5,82.3076,18.2299,1.17
1/1/54,49469,4.9,81.3314,18.0953,1.77
2/1/54,49382,5.2,80.8402,18.1492,2.33
3/1/54,49157,5.7,80.2379,18.0414,2.73
4/1/54,49179,5.9,79.4012,17.9337,3.07
5/1/54,48965,5.9,79.7563,18.0414,3.3
6/1/54,48895,5.6,79.8726,18.0953,3.27
7/1/54,48835,5.8,79.3984,18.1222,3.23
8/1/54,48826,6,78.8093,18.0953,3.2
9/1/54,48886,6.1,79.1621,18.1222,3.23
10/1/54,48942,5.7,79.7465,18.3377,3.03
11/1/54,49180,5.3,80.9104,18.6338,2.53
12/1/54,49331,5,81.7984,18.8762,1.63
1/1/55,49496,4.9,83.491,19.307,0.77
2/1/55,49644,4.7,84.1335,19.5494,0
3/1/55,49962,4.6,85.769,20.0071,-0.13
4/1/55,50248,4.7,86.7049,20.2495,-0.07
5/1/55,50512,4.3,87.8619,20.5726,-0.13
6/1/55,50790,4.2,87.6462,20.5996,-0.13
7/1/55,50987,4,87.6585,20.7611,-0.23
8/1/55,51111,4.2,87.3323,20.7342,-0.03
9/1/55,51266,4.1,87.4582,20.8688,-0.03
10/1/55,51429,4.3,88.3671,21.2189,0.1
11/1/55,51592,4.2,88.2651,21.2727,0.1
12/1/55,51805,4.2,89.0259,21.3535,0.13
1/1/56,51975,4,88.2309,21.4882,0.03
2/1/56,52167,3.9,87.4422,21.2997,-0.07
3/1/56,52294,4.2,86.9629,21.2997,0
4/1/56,52375,4,87.7998,21.4612,0
5/1/56,52506,4.3,86.3431,21.2728,0.13
6/1/56,52586,4.3,85.3322,21.0843,0.17
